Geneid	AEC.mock.I	AEC.mock.II	AEC.mock.III	AEC.WSN.I	AEC.WSN.II	AEC.WSN.III	AEC.WSN.PP1.I	AEC.WSN.PP1.II	AEC.WSN.PP1.III	AM.mock.I	AM.mock.II	AM.mock.III	AM.WSN.I	AM.WSN.II	AM.WSN.III	AM.WSN.PP1.I	AM.WSN.PP1.II	AM.WSN.PP1.III
ENSMUSG00000000326	766	779	1469	416	438	495	1628	853	922	191	258	415	105	130	190	166	117	173
ENSMUSG00000000339	284	254	534	244	206	205	744	367	357	243	354	205	92	102	290	194	138	187
ENSMUSG00000000340	160	161	316	91	126	119	169	110	77	73	111	142	32	34	65	55	31	45
ENSMUSG00000000346	1158	1232	2304	982	1089	1163	2547	1253	1206	3604	4427	2476	2133	2463	5416	2677	2565	3279
ENSMUSG00000000355	240	198	465	232	222	261	971	486	477	285	363	297	233	294	459	266	214	287
ENSMUSG00000000359	17	11	39	20	16	20	53	18	22	1	12	0	2	5	4	0	0	2
ENSMUSG00000000365	2	3	8	3	5	3	20	8	15	3	3	14	2	4	0	1	1	0
ENSMUSG00000000374	576	539	1093	245	244	252	93	61	61	347	671	537	236	287	217	147	117	176
ENSMUSG00000000378	232	236	582	140	189	173	379	191	204	266	447	324	104	111	103	59	37	53
ENSMUSG00000000381	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	177	148	358	113	105	102	349	177	162	125	310	231	77	113	79	32	29	32
ENSMUSG00000000385	689	741	1561	308	376	329	413	178	197	1	2	0	45	49	18	5	5	2
ENSMUSG00000000386	1	6	10	1092	991	1121	25	6	5	6760	10260	1950	3174	3983	8972	1824	1516	2632
ENSMUSG00000000392	8	3	13	31	24	33	41	23	16	3	6	1	40	59	12	4	3	6
ENSMUSG00000000394	0	0	0	11	15	9	0	0	0	0	0	0	24	36	13	2	3	1
ENSMUSG00000000399	469	429	834	312	290	290	973	530	528	548	750	393	199	251	512	399	345	508
ENSMUSG00000000402	7	10	11	2	3	3	1	1	3	0	0	0	0	3	0	0	0	3
ENSMUSG00000000409	6	0	2	27	19	18	24	18	10	28	35	24	12	21	73	30	19	45
ENSMUSG00000000411	1	0	0	1	0	0	1	2	0	0	0	0	1	2	1	0	0	0
ENSMUSG00000000416	3	8	8	4	5	4	6	8	3	1	2	0	0	1	0	0	0	0
ENSMUSG00000000420	724	668	1510	653	686	672	1138	615	560	718	869	712	319	429	675	386	318	435
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	444	412	278	208	224	223	492	679	673	354	107	614	303	413	53	282	213	275
ENSMUSG00000000440	35	31	57	7	4	13	33	19	24	41	81	103	37	46	43	55	24	44
ENSMUSG00000000441	711	674	728	322	312	340	992	1008	1012	641	451	958	451	592	268	413	326	426
ENSMUSG00000000486	8	7	23	7	9	13	15	6	14	3	7	10	9	16	4	2	3	4
ENSMUSG00000000489	2306	2166	4488	236	252	270	622	309	308	32	100	45	18	24	16	9	2	11
ENSMUSG00000000530	70	73	120	96	97	107	247	103	82	196	518	435	175	203	145	72	77	131
ENSMUSG00000000531	39	63	89	9	13	12	70	48	42	3	5	7	8	12	5	2	2	2
ENSMUSG00000000532	280	286	609	60	66	73	42	24	23	185	390	305	65	83	79	27	13	29
ENSMUSG00000000538	580	592	1213	287	301	344	812	436	414	171	282	177	102	142	148	72	61	94
ENSMUSG00000000544	4	7	20	9	4	3	18	5	5	1	0	1	0	0	1	0	1	0
ENSMUSG00000000552	418	379	798	242	227	230	631	299	248	286	804	337	135	155	268	99	86	113
