cell_type,biological_question,contrast,gene_label,gene_id,regulation,log2FoldChange,abs_log2FoldChange,padj,biotype,chromosome,description
AEC,Infection response,WSN vs mock,Cd274,ENSMUSG00000016496,Upregulated,6.659,6.659,3.02e-203,protein_coding,19,CD274 antigen
AEC,Infection response,WSN vs mock,Ifih1,ENSMUSG00000026896,Upregulated,3.433,3.433,1.70e-199,protein_coding,2,interferon induced with helicase C domain 1
AEC,Infection response,WSN vs mock,Hmox1,ENSMUSG00000005413,Upregulated,2.101,2.101,1.52e-190,protein_coding,8,heme oxygenase 1
AEC,Infection response,WSN vs mock,Ifi47,ENSMUSG00000078920,Upregulated,4.465,4.465,6.12e-189,protein_coding,11,interferon gamma inducible protein 47
AEC,Infection response,WSN vs mock,Adgrg1,ENSMUSG00000031785,Downregulated,-2.0,2.0,1.93e-186,protein_coding,8,adhesion G protein-coupled receptor G1
AEC,Infection response,WSN vs mock,Ifit3b,ENSMUSG00000062488,Upregulated,8.138,8.138,1.53e-182,protein_coding,19,interferon-induced protein with tetratricopeptide repeats 3B
AEC,Infection response,WSN vs mock,Ctr9,ENSMUSG00000005609,Downregulated,-2.411,2.411,9.52e-181,protein_coding,7,"CTR9 homolog, Paf1/RNA polymerase II complex component"
AEC,Infection response,WSN vs mock,Rigi,ENSMUSG00000040296,Upregulated,2.57,2.57,3.02e-179,protein_coding,4,RNA sensor RIG-I
AEC,Infection response,WSN vs mock,Lurap1l,ENSMUSG00000048706,Downregulated,-3.326,3.326,4.82e-173,protein_coding,4,leucine rich adaptor protein 1-like
AEC,Infection response,WSN vs mock,Lif,ENSMUSG00000034394,Upregulated,2.229,2.229,2.71e-169,protein_coding,11,leukemia inhibitory factor
AEC,Infection response,WSN vs mock,Sp100,ENSMUSG00000026222,Upregulated,4.865,4.865,2.07e-165,protein_coding,1,nuclear antigen Sp100
AEC,Infection response,WSN vs mock,Egr1,ENSMUSG00000038418,Upregulated,3.093,3.093,7.75e-161,protein_coding,18,early growth response 1
AEC,Infection response,WSN vs mock,Rdh10,ENSMUSG00000025921,Downregulated,-2.892,2.892,2.16e-159,protein_coding,1,retinol dehydrogenase 10 (all-trans)
AEC,Infection response,WSN vs mock,Gm73150,ENSMUSG00000131753,Downregulated,-2.176,2.176,9.27e-159,lncRNA,11,73150
AEC,Infection response,WSN vs mock,Myh14,ENSMUSG00000030739,Downregulated,-2.603,2.603,8.99e-158,protein_coding,7,"myosin, heavy polypeptide 14"
AEC,Infection response,WSN vs mock,Ifi204,ENSMUSG00000073489,Upregulated,5.526,5.526,1.66e-155,protein_coding,1,interferon activated gene 204
AEC,Infection response,WSN vs mock,Tuft1,ENSMUSG00000005968,Downregulated,-2.572,2.572,3.06e-155,protein_coding,3,tuftelin 1
AEC,Infection response,WSN vs mock,AA467197,ENSMUSG00000033213,Upregulated,3.181,3.181,4.43e-152,protein_coding,2,expressed sequence AA467197
AEC,Infection response,WSN vs mock,H2-Q4,ENSMUSG00000035929,Upregulated,3.175,3.175,1.29e-151,protein_coding,17,"histocompatibility 2, Q region locus 4"
AEC,Infection response,WSN vs mock,Oasl1,ENSMUSG00000041827,Upregulated,5.947,5.947,2.32e-151,protein_coding,5,2'-5' oligoadenylate synthetase-like 1
AEC,Infection response,WSN vs mock,Trim16,ENSMUSG00000047821,Downregulated,-2.543,2.543,7.92e-150,protein_coding,11,tripartite motif-containing 16
AEC,Infection response,WSN vs mock,Pnp,ENSMUSG00000115338,Upregulated,2.922,2.922,7.41e-149,protein_coding,14,purine-nucleoside phosphorylase
AEC,Infection response,WSN vs mock,Pdgfb,ENSMUSG00000000489,Downregulated,-2.481,2.481,2.23e-147,protein_coding,15,"platelet derived growth factor, B polypeptide"
AEC,Infection response,WSN vs mock,Tlr3,ENSMUSG00000031639,Upregulated,3.066,3.066,3.67e-139,protein_coding,8,toll-like receptor 3
AEC,Infection response,WSN vs mock,Znfx1,ENSMUSG00000039501,Upregulated,2.588,2.588,3.74e-137,protein_coding,2,"zinc finger, NFX1-type containing 1"
AEC,Infection response,WSN vs mock,Ereg,ENSMUSG00000029377,Upregulated,2.574,2.574,5.69e-135,protein_coding,5,epiregulin
AEC,Infection response,WSN vs mock,Tor1aip1,ENSMUSG00000026466,Upregulated,2.03,2.03,3.42e-132,protein_coding,1,torsin A interacting protein 1
AEC,Infection response,WSN vs mock,Parp9,ENSMUSG00000022906,Upregulated,2.988,2.988,1.01e-128,protein_coding,16,"poly (ADP-ribose) polymerase family, member 9"
