cell_type,biological_question,contrast,gene_label,gene_id,regulation,log2FoldChange,abs_log2FoldChange,padj,biotype,chromosome,description
AEC,Inhibitor effect,WSN_PP1 vs WSN,Xdh,ENSMUSG00000024066,Downregulated,-2.243,2.243,1.41e-121,protein_coding,17,xanthine dehydrogenase
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mast2,ENSMUSG00000003810,Downregulated,-2.407,2.407,5.21e-120,protein_coding,4,microtubule associated serine/threonine kinase 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Trp53inp1,ENSMUSG00000028211,Downregulated,-2.909,2.909,3.44e-119,protein_coding,4,transformation related protein 53 inducible nuclear protein 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Dtx3l,ENSMUSG00000049502,Downregulated,-2.862,2.862,3.78e-119,protein_coding,16,"deltex 3-like, E3 ubiquitin ligase"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Furin,ENSMUSG00000030530,Downregulated,-2.137,2.137,1.05e-118,protein_coding,7,"furin, paired basic amino acid cleaving enzyme"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm69991,ENSMUSG00000140159,Downregulated,-3.578,3.578,1.28e-118,lncRNA,4,69991
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mbnl2,ENSMUSG00000022139,Downregulated,-2.155,2.155,2.46e-118,protein_coding,14,muscleblind like splicing factor 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Dhrs3,ENSMUSG00000066026,Upregulated,3.851,3.851,3.82e-118,protein_coding,4,dehydrogenase/reductase 3
AEC,Inhibitor effect,WSN_PP1 vs WSN,B230219D22Rik,ENSMUSG00000045767,Downregulated,-2.754,2.754,5.74e-118,protein_coding,13,B230219D22 gene
AEC,Inhibitor effect,WSN_PP1 vs WSN,Fndc3b,ENSMUSG00000039286,Downregulated,-2.012,2.012,8.00e-118,protein_coding,3,fibronectin type III domain containing 3B
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tuft1,ENSMUSG00000005968,Upregulated,2.259,2.259,1.07e-117,protein_coding,3,tuftelin 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Edem3,ENSMUSG00000043019,Downregulated,-4.576,4.576,1.19e-117,protein_coding,1,"ER degradation enhancer, mannosidase alpha-like 3"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mex3c,ENSMUSG00000037253,Downregulated,-4.12,4.12,1.59e-117,protein_coding,18,mex3 RNA binding family member C
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gbp5,ENSMUSG00000105504,Downregulated,-3.766,3.766,4.22e-117,protein_coding,3,guanylate binding protein 5
AEC,Inhibitor effect,WSN_PP1 vs WSN,Sppl2a,ENSMUSG00000027366,Downregulated,-2.092,2.092,7.57e-117,protein_coding,2,signal peptide peptidase like 2A
AEC,Inhibitor effect,WSN_PP1 vs WSN,Flt4,ENSMUSG00000020357,Downregulated,-3.234,3.234,2.29e-115,protein_coding,11,FMS-like tyrosine kinase 4
AEC,Inhibitor effect,WSN_PP1 vs WSN,Lamc1,ENSMUSG00000026478,Downregulated,-2.188,2.188,8.30e-115,protein_coding,1,"laminin, gamma 1"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Crk,ENSMUSG00000017776,Downregulated,-2.102,2.102,1.02e-113,protein_coding,11,v-crk avian sarcoma virus CT10 oncogene homolog
AEC,Inhibitor effect,WSN_PP1 vs WSN,Extl3,ENSMUSG00000021978,Downregulated,-2.62,2.62,2.61e-113,protein_coding,14,exostosin-like glycosyltransferase 3
AEC,Inhibitor effect,WSN_PP1 vs WSN,Inppl1,ENSMUSG00000032737,Downregulated,-2.158,2.158,6.01e-112,protein_coding,7,inositol polyphosphate phosphatase-like 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm17501,ENSMUSG00000097183,Downregulated,-2.28,2.28,9.22e-112,lncRNA,3,17501
AEC,Inhibitor effect,WSN_PP1 vs WSN,N4bp1,ENSMUSG00000031652,Downregulated,-2.937,2.937,3.73e-110,protein_coding,8,NEDD4 binding protein 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Larp1,ENSMUSG00000037331,Downregulated,-2.535,2.535,5.13e-110,protein_coding,11,"La ribonucleoprotein 1, translational regulator"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Sgk1,ENSMUSG00000019970,Downregulated,-2.52,2.52,2.30e-108,protein_coding,10,serum/glucocorticoid regulated kinase 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Daxx,ENSMUSG00000002307,Downregulated,-3.273,3.273,1.03e-107,protein_coding,17,Fas death domain-associated protein
AEC,Inhibitor effect,WSN_PP1 vs WSN,Hipk3,ENSMUSG00000027177,Downregulated,-2.626,2.626,2.95e-106,protein_coding,2,homeodomain interacting protein kinase 3
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tap1,ENSMUSG00000037321,Downregulated,-2.859,2.859,7.01e-106,protein_coding,17,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Psmb8,ENSMUSG00000024338,Downregulated,-4.073,4.073,2.39e-105,protein_coding,17,"proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Yap1,ENSMUSG00000053110,Downregulated,-2.466,2.466,7.40e-105,protein_coding,9,yes-associated protein 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tdrd7,ENSMUSG00000035517,Downregulated,-2.894,2.894,1.69e-104,protein_coding,4,tudor domain containing 7
AEC,Inhibitor effect,WSN_PP1 vs WSN,Eif2ak2,ENSMUSG00000024079,Downregulated,-2.758,2.758,2.69e-104,protein_coding,17,eukaryotic translation initiation factor 2-alpha kinase 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Csrnp1,ENSMUSG00000032515,Downregulated,-2.64,2.64,1.19e-103,protein_coding,9,cysteine-serine-rich nuclear protein 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Galnt2,ENSMUSG00000089704,Downregulated,-2.037,2.037,3.70e-102,protein_coding,8,polypeptide N-acetylgalactosaminyltransferase 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tnks2,ENSMUSG00000024811,Downregulated,-2.049,2.049,3.77e-102,protein_coding,19,"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tmx3,ENSMUSG00000024614,Downregulated,-2.427,2.427,7.19e-102,protein_coding,18,thioredoxin-related transmembrane protein 3
AEC,Inhibitor effect,WSN_PP1 vs WSN,Dock5,ENSMUSG00000044447,Downregulated,-2.94,2.94,3.80e-101,protein_coding,14,dedicator of cytokinesis 5
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gtf3c1,ENSMUSG00000032777,Downregulated,-2.196,2.196,2.84e-100,protein_coding,7,general transcription factor III C 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Notch2,ENSMUSG00000027878,Downregulated,-3.18,3.18,3.44e-100,protein_coding,3,notch 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm44148,ENSMUSG00000107736,Downregulated,-5.523,5.523,5.29e-100,lncRNA,6,44148
AEC,Inhibitor effect,WSN_PP1 vs WSN,Lpgat1,ENSMUSG00000026623,Downregulated,-2.605,2.605,2.75e-99,protein_coding,1,lysophosphatidylglycerol acyltransferase 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tnrc18,ENSMUSG00000039477,Downregulated,-3.574,3.574,6.58e-99,protein_coding,5,trinucleotide repeat containing 18
AEC,Inhibitor effect,WSN_PP1 vs WSN,Vegfa,ENSMUSG00000023951,Downregulated,-2.105,2.105,1.11e-98,protein_coding,17,vascular endothelial growth factor A
AEC,Inhibitor effect,WSN_PP1 vs WSN,Xpot,ENSMUSG00000034667,Downregulated,-2.48,2.48,2.27e-98,protein_coding,10,"exportin, tRNA (nuclear export receptor for tRNAs)"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tln1,ENSMUSG00000028465,Downregulated,-2.908,2.908,4.09e-98,protein_coding,4,talin 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Dlg5,ENSMUSG00000021782,Downregulated,-3.221,3.221,8.60e-98,protein_coding,14,discs large MAGUK scaffold protein 5
AEC,Inhibitor effect,WSN_PP1 vs WSN,Cmpk2,ENSMUSG00000020638,Downregulated,-9.721,9.721,2.48e-96,protein_coding,12,cytidine/uridine monophosphate kinase 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ankfy1,ENSMUSG00000020790,Downregulated,-2.167,2.167,3.35e-96,protein_coding,11,ankyrin repeat and FYVE domain containing 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Flnc,ENSMUSG00000068699,Downregulated,-2.109,2.109,2.43e-95,protein_coding,6,"filamin C, gamma"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Pcnx1,ENSMUSG00000021140,Downregulated,-4.075,4.075,5.31e-95,protein_coding,12,pecanex 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Hmga2,ENSMUSG00000056758,Downregulated,-2.51,2.51,4.33e-94,protein_coding,10,high mobility group AT-hook 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Fam120a,ENSMUSG00000038014,Downregulated,-2.532,2.532,1.47e-92,protein_coding,13,"family with sequence similarity 120, member A"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Rtp4,ENSMUSG00000033355,Downregulated,-4.945,4.945,2.29e-92,protein_coding,16,receptor transporter protein 4
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mmp15,ENSMUSG00000031790,Downregulated,-2.228,2.228,7.12e-92,protein_coding,8,matrix metallopeptidase 15
AEC,Inhibitor effect,WSN_PP1 vs WSN,Itpr1,ENSMUSG00000030102,Downregulated,-3.672,3.672,2.21e-91,protein_coding,6,"inositol 1,4,5-trisphosphate receptor 1"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mgat2,ENSMUSG00000043998,Downregulated,-2.46,2.46,3.45e-91,protein_coding,12,mannoside acetylglucosaminyltransferase 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Iigp1,ENSMUSG00000054072,Downregulated,-9.434,9.434,9.38e-91,protein_coding,18,interferon inducible GTPase 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Egr1,ENSMUSG00000038418,Downregulated,-2.08,2.08,1.24e-90,protein_coding,18,early growth response 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Trim56,ENSMUSG00000043279,Downregulated,-3.791,3.791,1.45e-90,protein_coding,5,tripartite motif-containing 56
AEC,Inhibitor effect,WSN_PP1 vs WSN,Rgs16,ENSMUSG00000026475,Downregulated,-3.646,3.646,1.18e-89,protein_coding,1,regulator of G-protein signaling 16
AEC,Inhibitor effect,WSN_PP1 vs WSN,Myo9b,ENSMUSG00000004677,Downregulated,-2.856,2.856,1.24e-89,protein_coding,8,myosin IXb
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm74350,ENSMUSG00000142640,Downregulated,-3.896,3.896,1.33e-89,lncRNA,11,74350
AEC,Inhibitor effect,WSN_PP1 vs WSN,Phf11d,ENSMUSG00000068245,Downregulated,-6.011,6.011,1.40e-89,protein_coding,14,PHD finger protein 11D
AEC,Inhibitor effect,WSN_PP1 vs WSN,Trim21,ENSMUSG00000030966,Downregulated,-4.977,4.977,2.29e-89,protein_coding,7,tripartite motif-containing 21
AEC,Inhibitor effect,WSN_PP1 vs WSN,Plau,ENSMUSG00000021822,Downregulated,-2.262,2.262,2.86e-89,protein_coding,14,"plasminogen activator, urokinase"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Nlgn2,ENSMUSG00000051790,Downregulated,-2.526,2.526,3.50e-89,protein_coding,11,neuroligin 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ppp1r10,ENSMUSG00000039220,Downregulated,-3.958,3.958,1.17e-88,protein_coding,17,"protein phosphatase 1, regulatory subunit 10"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Prkci,ENSMUSG00000037643,Downregulated,-2.072,2.072,1.52e-88,protein_coding,3,"protein kinase C, iota"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Psmb10,ENSMUSG00000031897,Downregulated,-2.989,2.989,1.57e-88,protein_coding,8,"proteasome (prosome, macropain) subunit, beta type 10"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ski,ENSMUSG00000029050,Downregulated,-2.04,2.04,2.58e-88,protein_coding,4,ski sarcoma viral oncogene homolog (avian)
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tap2,ENSMUSG00000024339,Downregulated,-3.193,3.193,8.42e-88,protein_coding,17,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
AEC,Inhibitor effect,WSN_PP1 vs WSN,H2-T22,ENSMUSG00000056116,Downregulated,-2.652,2.652,2.95e-87,protein_coding,17,"histocompatibility 2, T region locus 22"
AEC,Inhibitor effect,WSN_PP1 vs WSN,AA467197,ENSMUSG00000033213,Downregulated,-2.135,2.135,2.52e-86,protein_coding,2,expressed sequence AA467197
AEC,Inhibitor effect,WSN_PP1 vs WSN,Pml,ENSMUSG00000036986,Downregulated,-2.478,2.478,7.26e-86,protein_coding,9,promyelocytic leukemia
AEC,Inhibitor effect,WSN_PP1 vs WSN,Helz2,ENSMUSG00000027580,Downregulated,-5.245,5.245,4.84e-84,protein_coding,2,"helicase with zinc finger 2, transcriptional coactivator"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Atp8b2,ENSMUSG00000060671,Downregulated,-2.603,2.603,8.98e-84,protein_coding,3,"ATPase, class I, type 8B, member 2"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Man2a2,ENSMUSG00000038886,Downregulated,-2.759,2.759,9.09e-84,protein_coding,7,"mannosidase 2, alpha 2"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gnb4,ENSMUSG00000027669,Downregulated,-2.925,2.925,1.21e-83,protein_coding,3,"guanine nucleotide binding protein (G protein), beta 4"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Vasn,ENSMUSG00000039646,Downregulated,-3.965,3.965,1.08e-82,protein_coding,16,vasorin
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gcnt2,ENSMUSG00000021360,Downregulated,-2.894,2.894,1.03e-81,protein_coding,13,glucosaminyl (N-acetyl) transferase 2 (I blood group)
AEC,Inhibitor effect,WSN_PP1 vs WSN,Jak2,ENSMUSG00000024789,Downregulated,-2.034,2.034,3.69e-81,protein_coding,19,Janus kinase 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gdf6,ENSMUSG00000051279,Downregulated,-2.733,2.733,1.12e-79,protein_coding,4,growth differentiation factor 6
AEC,Inhibitor effect,WSN_PP1 vs WSN,Skil,ENSMUSG00000027660,Downregulated,-2.026,2.026,1.99e-79,protein_coding,3,SKI-like
AEC,Inhibitor effect,WSN_PP1 vs WSN,Rsad2,ENSMUSG00000020641,Downregulated,-7.218,7.218,2.87e-79,protein_coding,12,radical S-adenosyl methionine domain containing 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Oas1a,ENSMUSG00000052776,Downregulated,-4.126,4.126,2.95e-79,protein_coding,5,2'-5' oligoadenylate synthetase 1A
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ankrd50,ENSMUSG00000044864,Downregulated,-2.509,2.509,1.38e-78,protein_coding,3,ankyrin repeat domain 50
AEC,Inhibitor effect,WSN_PP1 vs WSN,Arhgef17,ENSMUSG00000032875,Downregulated,-2.766,2.766,4.35e-78,protein_coding,7,Rho guanine nucleotide exchange factor 17
AEC,Inhibitor effect,WSN_PP1 vs WSN,Lrrc58,ENSMUSG00000034158,Downregulated,-2.795,2.795,5.11e-78,protein_coding,16,leucine rich repeat containing 58
AEC,Inhibitor effect,WSN_PP1 vs WSN,Eaf1,ENSMUSG00000021890,Downregulated,-2.176,2.176,2.39e-77,protein_coding,14,ELL associated factor 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Cldn18,ENSMUSG00000032473,Downregulated,-2.038,2.038,6.69e-77,protein_coding,9,claudin 18
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ldlr,ENSMUSG00000032193,Downregulated,-2.185,2.185,8.99e-77,protein_coding,9,low density lipoprotein receptor
AEC,Inhibitor effect,WSN_PP1 vs WSN,Garre1,ENSMUSG00000066571,Downregulated,-2.889,2.889,9.33e-77,protein_coding,7,granule associated Rac and RHOG effector 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm64338,ENSMUSG00000122408,Downregulated,-2.56,2.56,2.33e-76,lncRNA,3,64338
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mx2,ENSMUSG00000023341,Downregulated,-3.491,3.491,3.41e-76,protein_coding,16,MX dynamin-like GTPase 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ostm1,ENSMUSG00000038280,Downregulated,-2.186,2.186,6.01e-76,protein_coding,10,osteopetrosis associated transmembrane protein 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Pdzrn3,ENSMUSG00000035357,Downregulated,-2.579,2.579,6.98e-76,protein_coding,6,PDZ domain containing RING finger 3
AEC,Inhibitor effect,WSN_PP1 vs WSN,Bcr,ENSMUSG00000009681,Downregulated,-2.673,2.673,1.26e-74,protein_coding,10,BCR activator of RhoGEF and GTPase
AEC,Inhibitor effect,WSN_PP1 vs WSN,Nfkb1,ENSMUSG00000028163,Downregulated,-2.668,2.668,4.93e-74,protein_coding,3,"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ube3b,ENSMUSG00000029577,Downregulated,-2.057,2.057,5.51e-74,protein_coding,5,ubiquitin protein ligase E3B
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gbp9,ENSMUSG00000029298,Downregulated,-7.345,7.345,8.62e-74,protein_coding,5,guanylate-binding protein 9
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mx1,ENSMUSG00000000386,Downregulated,-8.164,8.164,2.11e-73,protein_coding,16,MX dynamin-like GTPase 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Apol9a,ENSMUSG00000057346,Downregulated,-3.151,3.151,3.46e-73,protein_coding,15,apolipoprotein L 9a
AEC,Inhibitor effect,WSN_PP1 vs WSN,Dusp6,ENSMUSG00000019960,Downregulated,-4.731,4.731,4.52e-73,protein_coding,10,dual specificity phosphatase 6
AEC,Inhibitor effect,WSN_PP1 vs WSN,ENSMUSG00000127942,ENSMUSG00000127942,Downregulated,-4.715,4.715,5.10e-73,lncRNA,11,"novel transcript, antisense to Irgm2"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm11626,ENSMUSG00000086347,Downregulated,-3.394,3.394,1.78e-72,lncRNA,11,predicted gene 11626
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mat2a,ENSMUSG00000053907,Downregulated,-2.882,2.882,4.90e-72,protein_coding,6,methionine adenosyltransferase 2A
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tent5a,ENSMUSG00000032265,Downregulated,-3.066,3.066,7.62e-72,protein_coding,9,terminal nucleotidyltransferase 5A
AEC,Inhibitor effect,WSN_PP1 vs WSN,Btbd7,ENSMUSG00000041702,Downregulated,-2.855,2.855,9.94e-72,protein_coding,12,BTB domain containing 7
AEC,Inhibitor effect,WSN_PP1 vs WSN,Fzd1,ENSMUSG00000044674,Downregulated,-2.133,2.133,1.15e-71,protein_coding,5,frizzled class receptor 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Hap1,ENSMUSG00000006930,Downregulated,-4.181,4.181,1.87e-70,protein_coding,11,huntingtin-associated protein 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Socs5,ENSMUSG00000037104,Downregulated,-3.347,3.347,7.45e-69,protein_coding,17,suppressor of cytokine signaling 5
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm40121,ENSMUSG00000123527,Downregulated,-2.306,2.306,9.43e-69,lncRNA,3,40121
AEC,Inhibitor effect,WSN_PP1 vs WSN,Lrig1,ENSMUSG00000030029,Downregulated,-2.854,2.854,1.25e-68,protein_coding,6,leucine-rich repeats and immunoglobulin-like domains 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ptpn13,ENSMUSG00000034573,Downregulated,-2.383,2.383,4.23e-68,protein_coding,5,"protein tyrosine phosphatase, non-receptor type 13"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Micall1,ENSMUSG00000033039,Downregulated,-2.272,2.272,4.27e-68,protein_coding,15,"microtubule associated monooxygenase, calponin and LIM domain containing -like 1"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Cmtm4,ENSMUSG00000096188,Downregulated,-2.071,2.071,5.92e-68,protein_coding,8,CKLF-like MARVEL transmembrane domain containing 4
AEC,Inhibitor effect,WSN_PP1 vs WSN,D17H6S56E-5,ENSMUSG00000120992,Downregulated,-2.849,2.849,2.55e-67,protein_coding,17,"DNA segment, Chr 17, human D6S56E 5"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Kremen1,ENSMUSG00000020393,Downregulated,-2.836,2.836,3.14e-67,protein_coding,11,kringle containing transmembrane protein 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tanc1,ENSMUSG00000035168,Downregulated,-2.78,2.78,7.29e-67,protein_coding,2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mob1b,ENSMUSG00000006262,Downregulated,-2.706,2.706,1.27e-66,protein_coding,5,MOB kinase activator 1B
AEC,Inhibitor effect,WSN_PP1 vs WSN,Abl1,ENSMUSG00000026842,Downregulated,-2.327,2.327,2.46e-66,protein_coding,2,"c-abl oncogene 1, non-receptor tyrosine kinase"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ppp1r15b,ENSMUSG00000046062,Downregulated,-2.535,2.535,9.49e-66,protein_coding,1,"protein phosphatase 1, regulatory subunit 15B"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Traf3,ENSMUSG00000021277,Downregulated,-2.314,2.314,1.08e-65,protein_coding,12,TNF receptor-associated factor 3
AEC,Inhibitor effect,WSN_PP1 vs WSN,Sec16a,ENSMUSG00000026924,Downregulated,-2.119,2.119,1.77e-65,protein_coding,2,"SEC16 homolog A, endoplasmic reticulum export factor"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ifit1bl1,ENSMUSG00000079339,Downregulated,-7.197,7.197,2.45e-65,protein_coding,19,interferon induced protein with tetratricpeptide repeats 1B like 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Chac1,ENSMUSG00000027313,Upregulated,3.324,3.324,2.68e-65,protein_coding,2,"ChaC, cation transport regulator 1"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm19412,ENSMUSG00000101438,Downregulated,-2.201,2.201,3.67e-65,lncRNA,17,19412
AEC,Inhibitor effect,WSN_PP1 vs WSN,Dse,ENSMUSG00000039497,Downregulated,-3.142,3.142,8.45e-65,protein_coding,10,dermatan sulfate epimerase
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tor1b,ENSMUSG00000026848,Downregulated,-2.392,2.392,1.10e-64,protein_coding,2,"torsin family 1, member B"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Zzef1,ENSMUSG00000055670,Downregulated,-3.144,3.144,2.23e-64,protein_coding,11,"zinc finger, ZZ-type with EF hand domain 1"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Dab2ip,ENSMUSG00000026883,Downregulated,-2.806,2.806,2.98e-64,protein_coding,2,disabled 2 interacting protein
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ankib1,ENSMUSG00000040351,Downregulated,-2.437,2.437,4.35e-64,protein_coding,5,ankyrin repeat and IBR domain containing 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Lurap1l,ENSMUSG00000048706,Upregulated,2.073,2.073,6.34e-64,protein_coding,4,leucine rich adaptor protein 1-like
AEC,Inhibitor effect,WSN_PP1 vs WSN,Itpr3,ENSMUSG00000042644,Downregulated,-2.516,2.516,1.05e-63,protein_coding,17,"inositol 1,4,5-triphosphate receptor 3"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Slfn2,ENSMUSG00000072620,Downregulated,-3.248,3.248,1.27e-63,protein_coding,11,schlafen 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm20496,ENSMUSG00000092550,Downregulated,-3.896,3.896,1.77e-63,lncRNA,17,predicted gene 20496
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ier5,ENSMUSG00000056708,Downregulated,-2.388,2.388,2.69e-63,protein_coding,1,immediate early response 5
AEC,Inhibitor effect,WSN_PP1 vs WSN,Tnfaip2,ENSMUSG00000021281,Downregulated,-2.282,2.282,9.90e-63,protein_coding,12,"tumor necrosis factor, alpha-induced protein 2"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ets1,ENSMUSG00000032035,Downregulated,-2.284,2.284,9.98e-63,protein_coding,9,"E26 avian leukemia oncogene 1, 5' domain"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Parp10,ENSMUSG00000063268,Downregulated,-3.538,3.538,1.20e-62,protein_coding,15,"poly (ADP-ribose) polymerase family, member 10"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mib1,ENSMUSG00000024294,Downregulated,-2.254,2.254,2.16e-62,protein_coding,18,MIB E3 ubiquitin protein ligase 1
AEC,Inhibitor effect,WSN_PP1 vs WSN,Serpinb2,ENSMUSG00000062345,Downregulated,-2.203,2.203,5.80e-62,protein_coding,1,"serine (or cysteine) peptidase inhibitor, clade B, member 2"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Secisbp2l,ENSMUSG00000035093,Downregulated,-2.292,2.292,1.77e-61,protein_coding,2,SECIS binding protein 2-like
AEC,Inhibitor effect,WSN_PP1 vs WSN,AW112010,ENSMUSG00000075010,Downregulated,-2.572,2.572,3.24e-61,lncRNA,19,expressed sequence AW112010
AEC,Inhibitor effect,WSN_PP1 vs WSN,Frmd6,ENSMUSG00000048285,Downregulated,-2.895,2.895,3.40e-61,protein_coding,12,FERM domain containing 6
AEC,Inhibitor effect,WSN_PP1 vs WSN,Mir6381,ENSMUSG00000098871,Downregulated,-5.633,5.633,4.82e-60,miRNA,3,microRNA 6381
AEC,Inhibitor effect,WSN_PP1 vs WSN,Gm36043,ENSMUSG00000117964,Downregulated,-6.963,6.963,7.76e-60,lncRNA,19,36043
AEC,Inhibitor effect,WSN_PP1 vs WSN,Ccl5,ENSMUSG00000035042,Downregulated,-6.064,6.064,8.16e-60,protein_coding,11,C-C motif chemokine ligand 5
AEC,Inhibitor effect,WSN_PP1 vs WSN,Herc2,ENSMUSG00000030451,Downregulated,-3.531,3.531,9.27e-60,protein_coding,7,HECT and RLD domain containing E3 ubiquitin protein ligase 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,Nr3c1,ENSMUSG00000024431,Downregulated,-2.402,2.402,2.15e-59,protein_coding,18,"nuclear receptor subfamily 3, group C, member 1"
AEC,Inhibitor effect,WSN_PP1 vs WSN,Bcl9l,ENSMUSG00000063382,Downregulated,-2.818,2.818,6.92e-59,protein_coding,9,B cell CLL/lymphoma 9-like
AEC,Inhibitor effect,WSN_PP1 vs WSN,Aebp2,ENSMUSG00000030232,Downregulated,-2.367,2.367,8.77e-59,protein_coding,6,AE binding protein 2
AEC,Inhibitor effect,WSN_PP1 vs WSN,5430410E06Rik,ENSMUSG00000130316,Downregulated,-2.16,2.16,9.42e-59,lncRNA,17,5430410E06 gene
AEC,Inhibitor effect,WSN_PP1 vs WSN,Jag1,ENSMUSG00000027276,Downregulated,-2.326,2.326,1.25e-57,protein_coding,2,jagged 1
